i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
0,Winston-Salem,6,NC,36.135301,0.333,1,-80.279004,2,1,27106,1834 Wake Forest Road,0,6,4,Wake Forest School of Medicine,2,4
16,New York,49,NY,40.808286,2.333,14,-73.961885,22,14,10027,West 116 St and Broadway,16,46,532,Columbia University in the City of New York,22,537
1,Huntsville,5,AL,34.722818,0.375,2,-86.638420,3,3,35899,301 Sparkman Dr,0,3,11,"University of Alabama, Huntsville",5,73
2,,5,,,0.375,2,,4,3,,,1,4,29,Pacific Northwest National Laboratory,5,56
1,,2,,,1,2,,2,2,,,1,2,19,Hebrew University of Jerusalem,2,19
0,San Antonio,3,TX,29.582418,0.25,1,-98.621386,2,1,78249-1644,One UTSA Circle,0,3,4,University of Texas at San Antonio,2,4
1,,1,,,1,0,,0,1,,,0,0,0,SDSU,1,26
0,,2,,,0.5,1,,2,1,,,0,2,2,Curtin University,2,2
0,,1,,,1,1,,1,1,,,0,1,6,"Institute of Botany, CAS",1,6
0,Arlington,2,TX,32.728437,1,1,-97.115087,2,1,76013,701 S. Nedderman Dr.,0,2,2,University of Texas at Arlington,2,2
9,Providence,20,RI,41.827605,1.286,7,-71.404467,12,9,02912,One Prospect Street,7,16,140,Brown University,16,241
0,Claremore,1,OK,36.319609,0,0,-95.635739,0,0,74017-3252,1701 W Will Rogers Blvd,0,1,0,Rogers State University,0,0
1,,1,,,1,0,,0,1,,,0,0,0,Computational Science & Engineering,1,49
1,Middletown,2,CT,41.556780,0.111,0,-72.656755,0,1,06459,237 High St,0,1,0,Wesleyan University,2,163
2,,12,,,0.625,3,,6,5,,,1,9,28,None,8,61
0,,3,,,0.5,1,,3,1,,,0,3,6,Southeastern Universities Research Association,3,6
0,,4,,,0.001,2,,2,3,,,0,2,14,University of Waterloo,4,20
0,,1,,,1,1,,1,1,,,0,1,3,US Army Corps of Engineers,1,3
0,,1,,,1,1,,1,1,,,0,1,2,UTEP,1,2
0,,1,,,1,1,,1,1,,,0,1,3,Joseph Fourier University,1,3
0,Normal,1,IL,40.509724,1,0,-88.992340,0,1,61790-1000,North and School Streets,0,0,0,Illinois State University,1,6
0,,1,,,1,1,,1,1,,,0,1,1,University of Goettingen,1,1
3,Tempe,15,AZ,33.422247,0.857,4,-111.934629,12,6,85287,University Drive and Mill Avenue,3,12,129,Arizona State University,13,147
0,Cambridge,2,MA,42.360095,1,1,-71.092115,2,1,02139-4307,77 Massachusetts Avenue,0,2,2,Massachusetts Institute of Technology,2,2
7,Raleigh,32,NC,35.785111,0.471,7,-78.674517,11,8,27695-7001,2101 Hillsborough Street,4,28,118,North Carolina State University at Raleigh,15,218
6,,13,,,0.667,6,,11,6,,,5,11,101,National Center for Atmospheric Research,13,266
3,Philadelphia,20,PA,39.951002,0.714,4,-75.193618,9,5,19104-6303,34th & Spruce Street,3,19,70,University of Pennsylvania,9,77
3,Richmond,11,VA,37.547631,0.833,4,-77.453597,8,5,23284-2512,910 W Franklin St,2,10,55,Virginia Commonwealth University,9,79
4,Philadelphia,10,PA,39.980943,0.857,5,-75.158267,8,6,19122-6096,1801 North Broad Street,3,8,80,Temple University,10,98
1,,1,,,1,1,,1,1,,,1,1,251,"Q-Chem, Inc.",1,251
0,,2,,,0.667,2,,2,2,,,0,2,9,Goethe University Frankfurt,2,9
