i10-index,location_city,i10-index (recent),location_state,location_latitude,H-index (m),num_pubs,lon,location_longitude,G-index (recent),H-index,location_zip,location_street,# of Pubs (recent),Cited by (recent),lat,Organization,G-index,Cited by,H-index (recent)
0,,0,,,1,1,,,1,1,,,1,3,,Joseph Fourier University,1,3,1
0,Normal,0,IL,40.509724,1,1,,-88.992340,0,1,61790-1000,North and School Streets,0,0,,Illinois State University,1,6,0
0,,0,,,1,1,,,1,1,,,1,1,,University of Goettingen,1,1,1
3,,3,,,0.857,15,,,12,6,,,12,129,,Arizona State University,13,147,4
0,Cambridge,0,MA,42.360095,1,2,,-71.092115,2,1,02139-4307,77 Massachusetts Avenue,2,2,,Massachusetts Institute of Technology,2,2,1
7,Raleigh,4,NC,35.785111,0.471,32,,-78.674517,11,8,27695-7001,2101 Hillsborough Street,28,118,,North Carolina State University at Raleigh,15,218,7
6,,5,,,0.667,13,,,11,6,,,11,101,,National Center for Atmospheric Research,13,266,6
3,Philadelphia,3,PA,39.951002,0.714,20,,-75.193618,9,5,19104-6303,34th & Spruce Street,19,70,,University of Pennsylvania,9,77,4
3,Richmond,2,VA,37.547631,0.833,11,,-77.453597,8,5,23284-2512,910 W Franklin St,10,55,,Virginia Commonwealth University,9,79,4
4,Philadelphia,3,PA,39.980943,0.857,10,,-75.158267,8,6,19122-6096,1801 North Broad Street,8,80,,Temple University,10,98,5
1,,1,,,1,1,,,1,1,,,1,251,,"Q-Chem, Inc.",1,251,1
0,,0,,,0.667,2,,,2,2,,,2,9,,Goethe University Frankfurt,2,9,2
2,Brooklyn,1,NY,40.631912,0.333,7,,-73.953120,6,4,11210,2900 Bedford Ave,6,32,,CUNY Brooklyn College,7,131,3
0,Lubbock,0,TX,33.580309,0.333,3,,-101.876917,3,1,79409-5005,Broadway and University Avenue,3,6,,Texas Tech University,3,6,1
0,,0,,,0,2,,,0,0,,,2,0,,University of Wuppertal,0,0,0
0,New York,0,NY,40.850800,0,1,,-73.928541,0,0,10033-3299,500 W 185th St,1,0,,Yeshiva University,0,0,0
0,,0,,,0,1,,,0,0,,,1,0,,Southern University and A&M College,0,0,0
0,Eau Claire,0,WI,44.798431,0.667,2,,-91.500432,2,2,54702-4004,105 Garfield Avenue,2,12,,University of Wisconsin-Eau Claire,2,12,2
0,Merced,0,CA,37.366237,0.8,8,,-120.424944,6,4,95343-5603,5200 North Lake Road,8,31,,"University of California, Merced",6,31,4
1,,1,,,1,1,,,1,1,,,1,13,,Kwangwoon University,1,13,1
0,,0,,,1,1,,,1,1,,,1,1,,Kasetsart University,1,1,1
0,Socorro,0,NM,34.066035,0.25,2,,-106.907491,2,1,87801,801 Leroy Place,2,5,,New Mexico Institute of Mining and Technology,2,5,1
0,,0,,,0,1,,,0,0,,,1,0,,"Pennsylvania State University, Mont Alto",0,0,0
3,,1,,,0.444,20,,,5,4,,,18,22,,Ohio State University,14,182,2
40,La Jolla,25,CA,32.876598,2,104,,-117.237793,33,24,92093,9500 Gilman Dr,83,1126,,"University of California, San Diego",44,2006,18
0,Boise,0,ID,43.604403,1,1,,-116.205789,1,1,83725,1910 University Dr,1,6,,Boise State University,1,6,1
0,,0,,,1,1,,,1,1,,,1,6,,University of Granada,1,6,1
1,,0,,,1,1,,,0,1,,,0,0,,American Physical Society,1,416,0
0,,0,,,0,1,,,0,0,,,1,0,,Johns Hopkins University School of Medicine,0,0,0
2,,2,,,2,2,,,2,2,,,2,30,,Institute for Research in Computer Science and Automation,2,30,2
4,,2,,,0.5,9,,,7,6,,,7,66,,American Museum of Natural History,9,139,4
2,,2,,,1.333,5,,,5,4,,,5,54,,University of Akron,5,54,4
1,Washington,1,DC,38.908809,1.5,5,,-77.073463,5,3,20057-0001,37th and O St NW,5,23,,Georgetown University,5,23,3
0,,0,,,1,1,,,1,1,,,1,1,,University of Montana,1,1,1
0,,0,,,0,1,,,0,0,,,1,0,,RIKEN,0,0,0
2,,2,,,1,2,,,2,2,,,2,88,,University of the Balearic Islands,2,88,2
0,,0,,,0,1,,,0,0,,,1,0,,Indian Institute of Science,0,0,0
18,,15,,,1.625,52,,,18,13,,,49,369,,Pennsylvania State University,22,512,12
2,Los Angeles,1,CA,34.066927,0.182,3,,-118.168965,2,2,90032,5151 State University Dr,2,12,,California State University-Los Angeles,3,106,1
2,,1,,,0.5,10,,,6,4,,,8,30,,Scripps Institution of Oceanography,9,68,4
0,Atlanta,0,GA,33.752700,0.25,7,,-84.386670,3,1,30303-3083,33 gilmer st,7,6,,Georgia State University,3,6,1
3,Fullerton,3,CA,33.883627,0.6,5,,-117.885349,5,3,92831-3599,800 N State College Blvd,5,132,,California State University-Fullerton,5,132,3
1,Houston,1,TX,29.705395,1,2,,-95.400790,2,2,77030-4009,1515 Holcombe Blvd.,2,12,,The University of Texas MD Anderson Cancer Center,2,12,2
9,Rochester,5,NY,43.090325,1.5,21,,-77.675210,14,9,14623-5603,1 Lomb Memorial Dr,15,173,,Rochester Institute of Technology,18,308,6
2,Las Vegas,2,NV,36.106994,1,2,,-115.141153,2,2,89154,4505 S Maryland Pky,2,74,,University of Nevada-Las Vegas,2,74,2
0,,0,,,1,1,,,1,1,,,1,2,,University of Edinburgh,1,2,1
0,Burlington,0,VT,44.479262,0.4,7,,-73.198128,4,2,05405-0160,85 S Prospect St,7,13,,University of Vermont,4,13,2
1,,1,,,0.667,2,,,2,2,,,2,26,,UCSF,2,26,2
0,,0,,,2,2,,,2,2,,,2,6,,University of Oxford,2,6,2
0,,0,,,0,1,,,0,0,,,0,0,,Queen's University Belfast,0,0,0
0,,0,,,0.333,4,,,2,1,,,4,2,,North Dakota State University,2,2,1
1,New York,1,NY,40.762927,1,1,,-73.954912,1,1,10065-6399,1230 York Avenue,1,10,,Rockefeller University,1,10,1
21,Stanford,12,CA,37.426967,1.364,52,,-122.168826,19,15,94305, ,41,377,,Stanford University,34,1111,11
0,,0,,,1,1,,,1,1,,,1,2,,ISU,1,2,1
0,Syracuse,0,NY,43.034355,0.5,2,,-76.139236,2,2,13210,One Forestry Dr.,2,10,,SUNY College of Environmental Science and Forestry,2,10,2
0,,0,,,1,1,,,1,1,,,1,6,,Northwestern Polytechnical University,1,6,1
26,Berkeley,22,CA,37.871969,2,67,,-122.260423,31,16,94720,200 California Hall,62,964,,"University of California, Berkeley",33,1107,15
1,,1,,,1,1,,,1,1,,,1,10,,University of Texas at Dallas,1,10,1
0,,0,,,1,1,,,1,1,,,1,4,,University of Utah School of Medicine,1,4,1
