Organization,num_pubs,# of Pubs (recent),Cited by,Cited by (recent),H-index,H-index (recent),H-index (m),G-index,G-index (recent),i10-index,i10-index (recent),lat,lon
Memorial Sloan Kettering Cancer Center,1,1,3,3,1,1,1,1,1,0,0,,
University of Exeter,1,1,1,1,1,1,1,1,1,0,0,,
University of Southern California,19,14,125,34,5,2,0.625,12,6,4,1,,
University of Texas Southwestern Medical Center,2,1,15,12,2,1,1,2,1,1,1,,
Cambridge University,3,3,23,23,3,3,1.5,3,3,1,1,,
The George Washington University,2,2,5,5,1,1,1,2,2,0,0,,
National Optical Astronomy Observatory,1,0,10,0,1,0,1,1,0,1,0,,
Computation Institute,1,0,163,0,1,0,1,1,0,1,0,,
"Southern Illinois University, Carbondale",4,4,6,6,1,1,0.333,3,3,0,0,,
Texas A&M University,19,16,571,147,7,6,0.778,19,13,4,3,,
West Virginia University,4,3,25,15,2,1,0.333,4,3,2,1,,
University of Iowa,6,5,42,31,3,2,0.375,6,5,2,1,,
Old Dominion University,5,5,1,1,1,1,0.25,1,1,0,0,,
San Diego State University,6,3,94,16,4,2,0.308,6,3,4,1,,
Indiana University at Bloomington,1,1,8,8,1,1,1,1,1,0,0,,
Texas Advanced Computing Center,12,7,336,23,4,2,0.5,12,5,4,1,,
University of Utah,36,27,1276,487,13,8,1.625,36,23,15,7,,
"SC Solutions, Inc.",1,1,3,3,1,1,1,1,1,0,0,,
Sri Sathya Sai Institute of Higher Learning,2,2,1,1,1,1,0.333,1,1,0,0,,
Corning Incorporated,1,0,3,0,1,0,1,1,0,0,0,,
Central University of the Caribbean,2,2,4,4,1,1,1,2,2,0,0,,
Centre College,2,2,2,2,1,1,0.5,2,2,0,0,,
Pittsburgh Supercomputing Center,7,3,348,152,4,1,0.5,7,3,3,1,,
Carnegie Mellon University,46,39,559,167,9,6,1,24,13,9,4,,
Alabama State University,1,1,2,2,1,1,1,1,1,0,0,,
New Jersey Institute of Technology,4,4,26,26,1,1,0.25,4,4,1,1,,
University of Mississippi,7,7,95,95,3,3,0.75,7,7,1,1,,
The Methodist Hospital System,4,4,2,2,1,1,0.5,2,2,0,0,,
University of Texas at Austin,61,44,754,340,10,6,0.625,28,19,13,6,,
"University of Maryland, College Park",36,29,785,382,13,11,0.929,28,20,17,12,,
Rensselaer Polytechnic Institute,6,6,175,175,4,4,4,6,6,2,2,,
University of Wisconsin-Milwaukee,5,4,27,20,3,3,0.429,5,4,0,0,,
Allegheny-Singer Research Institute,1,0,10,0,1,0,1,1,0,1,0,,
National Science Foundation,4,3,264,101,4,3,0.667,4,3,4,3,,
Kyoto University,1,1,3,3,1,1,1,1,1,0,0,,
Univeristy of Michigan,1,1,0,0,0,0,0,0,0,0,0,,
Cedars-Sinai Medical Center,1,1,5,5,1,1,1,1,1,0,0,,
Florida Atlantic University,6,5,128,118,5,4,0.833,6,5,5,4,,
Cornell University,50,42,1604,498,16,12,1.455,41,23,22,14,,
Villanova University,1,1,8,8,1,1,1,1,1,0,0,,
Virginia Polytechnic Institute and State University,10,7,129,45,5,2,0.714,10,7,4,2,,
University of Nevada-Reno,3,2,5,2,2,1,0.333,3,2,0,0,,
Ludwig Maximilian University of Munich,1,1,0,0,0,0,0,0,0,0,0,,
Burnham Institute,1,1,16,16,1,1,1,1,1,1,1,,
George Mason University,5,5,171,171,2,2,0.5,5,5,1,1,,
